t[ms],Freq [MHz],R[kOhm],Divided Freq in Hz (with rounding)
342,2,"27,6",977
273,"2,5","21,3",1221
228,3,"17,2",1465
196,"3,5","14,3",1709
171,4,"12,1",1953
151,"4,5","10,5",2197
"136,6",5,"9,2",2441
"124,1","5,5","8,2",2686
"113,7",6,"7,2",2930
"104,3","6,5","6,4",3174
"97,1",7,"5,8",3418
"92,2","7,5","5,4",3662
"86,3",8,"4,9",3906
81,"8,5","4,5",4150
"75,9",9,4,4395
"68,1",10,"3,4",4883
"61,6",11,"2,8",5371
"56,6",12,"2,4",5859
"52,3",13,2,6348
"48,1",14,"1,67",6836
"45,8",15,"1,47",7324
43,16,"1,28",7813
"40,6",17,"1,08",8301
"38,5",18,"0,894",8789
"36,6",19,"0,723",9277
"34,4",20,"0,519",9766
"32,6",21,"0,288",10254
"31,3",22,"0,0005",10742
,,,
Division Factor IC: ,2048,,